драматический	dramatic
отрекаться/отречься (от +g)	to renounce (sth)	p отрекусь, отречёшься, отрекутся, past отрёкся, отреклась
отрубать/отрубить (+a)	to chop off	p отрублю, отрубишь
отставание	lag, lagging behind
отстранять/отстранить (+a)	to push aside; remove
охлаждать/охладить (+a)	to cool
пакость (f)	dirty trick; filth	f
пальчик	small finger
паршивый	mangy; shabby, nasty
перегонять/перегнать (+a)	to outdistance, outstrip; drive (sth swh); distil	p перегоню, перегонишь
передвигать/передвинуть (+a)	to shift
переделывать/переделать (+a)	to remake, alter
передник	apron; pinafore
переезд	crossing; removal (change of residence)
переигрывать/переиграть (+a)	to play again; overact
переливаться/перелиться	to flow (swh); overflow; (i only) glisten, play (of colours), modulate
перелом	break, fracture; turning-point
перенос	transfer, carrying over; hyphenation
переносный	portable; metaphorical
переписывать/переписать (+a)	to rewrite; copy out	p перепишу, перепишешь
переправа	crossing; crossing place ford
переселяться/переселиться	to move, migrate
переставлять/переставить (+a)	to shift; rearrange	i переставляю
переть (i)	to shove, barge, push (coll)	i пру, прёшь, past пёр, пёрла
перехватывать/перехватить (+a)	to intercept
перец	pepper
персона	person	обед на десять персон dinner for ten
писательский	writer’s, literary
плавный	smooth, flowing
планомерный	planned, systematic
плачущий	tearful
племенной	tribal; thoroughbred
плоть (f)	flesh	f
пляска	dance	g pl плясок
поблизости	nearby; hereabouts
поборник (+g)	champion, keen supporter (of)
побуждение	motive, stimulus
повадка	habit, (habitual) behaviour (coll)	g pl повадок
повозка	cart, carriage	g pl повозок
подача	giving; serve (tennis)	подача топлива fuel supply; подача помощи assistance
подбрасывать/подбросить (+a)	to throw, toss (up); jolt; add	p подброшу, подбросишь
подвигать/подвинуть (+a)	to move
пользование (+inst)	use (of sth)
поначалу	at first (coll)
подножие/подножье	foot (of mountain etc.); pedestal
подоконник	window-sill
подслушивать/подслушать (+a)	to eavesdrop (on s.o.); (p) overhear
подъёмный	lifting (adj)	подъёмный кран crane; подъёмный мост drawbridge
жевать/по- (+a)	to chew	p пожую, пожуёшь
жечь/по- (+a)	to burn up	p пожгу, пожжёшь, пожгут, past пожёг, пожгла
позорно	disgracefully, shamefully
полосатый	striped
полыхать (i)	to blaze
помалкивать (i)	to keep quiet (coll)
помещичий	landowner’s (adj)	f помещичья, п помещичье
помост	platform, rostrum; scaffold
понижать/понизить (+a)	to lower; reduce	p понижу, понизишь
обещать/по- (+a +d)	to promise (sth to s.o)
пополнение	replenishment; reinforcement(s)
попутчик	fellow-traveller
поровну	equally
порожний	empty (coll)
ругаться/по-	to swear; (c +inst) (coll) have a row with
послезавтра	the day after tomorrow
постный	lenten, meatless; without meat or milk; (coll) lean (of meat); (coll) gloomy, glum; (coll) sanctimonious
постукивать (i)	to knock, tap, patter
потомство	posterity, descendants
потреблять/потребить (+a)	to consume	i потребляю
пребывать (i)	to be (swh)	i пребывать у власти to be in power
превосходно	splendidly
предписание	order, instruction
предприниматель (m)	entrepreneur, businessman	m
преобладать (i)	to predominate
преступный	criminal (adj)
приветливый	affable, friendly
пригородный	suburban
придвигаться/придвинуться (к +d)	to come near, move up
придерживать/придержать (+a)	to hold back, check
приёмная	waiting-room
признанный	acknowledged, recognized
примечательно	(it is) noteworthy
примирение	reconciliation
припадок	fit, attack	припадок гнева fit of anger
припасы (m pl)	stores, supplies; provisions	m pl; g pl припасов
присягать/присягнуть (в +pr +d)	to swear an oath (of sth to s.o.)	i присягать в верности to swear an oath of loyalty
пробел	blank, gap	пробел в знаниях gap in one’s knowledge
пробивать/пробить (+a)	to pierce	p пробью, пробьёшь
провокатор	agent provocateur; provoker
греметь/про-	to thunder, resound	p прогремлю, прогремишь
прогуливаться/прогуляться	to take a walk	p прогуляюсь
демонстрировать/про- (+a)	to demonstrate, show	p продемонстрирую;
прозывать/прозвать (+a +inst)	to nickname (s.o. sth)	p прозову, прозовёшь, f past прозвала
промах	miss; blunder
промежуточный	intermediate
пронзительно	piercingly; stridently
пропагандировать (i) (+a)	to propagandize, promote	i пропагандирую
пропорциональный	proportional
просыпать/проспать	to oversleep	p просплю, проспишь, f past проспала
простираться/простереться	to extend, stretch
просторно	(it is) spacious
простужаться/простудиться	to catch a cold	p простужусь, простудишься; простуживаться i or простужаться i
протирать/протереть (+a)	to rub; rub through
протягиваться/протянуться	to stretch out; extend	p протянусь, протянешься
прохвост	scoundrel (coll)
прохождение	passing, passage
процветать (i)	to flourish	no p
прояснение	clarification, clearing up; clear period (weather)
прутик	twig, switch; small rod
пчела	bee	nom pl пчёлы
пшено	millet
пьянка	binge, booze-up (coll)	g pl пьянок
пята	heel	nom pl пяты, g pl пят, d pl пятам
разбегаться/разбежаться	to scatter; take a run-up	p разбегусь, разбежишься, разбегутся
разведывательный	reconnaissance (adj); intelligence (adj)	разведывательная служба intelligence service
развешивать/развесить (+a)	to hang up (a number of things); weigh out	p развешу, развесишь;развесить бельё to hang out the washing
раздробленный	shattered, splintered, disunited
разливаться/разлиться	to spill; overflow
различаться (i) (+inst)	to differ
размещение	placing, allocation, accommodation
разнородный	heterogeneous
разгонять/разогнать (+a)	to disperse	p разгоню, разгонишь, f past разогнала
разорять/разорить (+a)	to ruin
разочарованный	disappointed, disillusioned
разыгрываться/разыграться	to romp; warm up, get into one’s stride; (storm etc.) break, rage
расизм	racism
раскусывать/раскусить (+a)	to bite through; (p only) (coll) suss out; get to the heart of sth	p раскушу, раскусишь
распоряжаться/распорядиться	to give orders; (+inst) deal with, manage, be in charge of	p распоряжусь, распорядишься
расстилаться/разостлаться	to spread out
расстройство	disorder
рассыпать (i/p) (+a)	to spill, scatter	рассыпа́ться/рассы́паться; p рассыплю, рассыплешь
растительность (f)	vegetation	f
реалистический	realistic
ребячий	child’s; childish	f ребячья, п ребячье
ревнивый	jealous
ремесленник	craftsman; hack
решето	sieve	nom pl решёта; Чудеса в решете! Incredible!
рогожа	matting
рожок	small horn; horn (instrument)
романс	romance (song)
рыночный	market (adj)	рыночная экономика market economy
салют	salute; firework display (in honour of s.o. or sth)
самокритика	self-criticism
самосознание	self-awareness
сберегать/сберечь (+a)	to save; protect	p сберегу, сбережёшь, сберегут, past сберёг, сберегла
свешивать/свесить (+a)	to lower, let dangle; (p only) (coll) weigh	p свешу, свесишь
сенсация	sensation
сентябрьский	September (adj)
сервиз	service, set (of dishes)
серийный	serial	серийное производство mass production
сидение	sitting; (preferably сиденье) seat
синяк	bruise	g sg синяка
скалистый	rocky
скандальный	scandalous; (coll) quarrelsome, rowdy
скорбь (f)	grief	f; g pl скорбей
скромно	modestly
скромность (f)	modesty	f
слать/по- (+a)	to send	i шлю, шлёшь
словцо	word; apt remark, witticism (coll)	для красного словца for effect
слуга (m)	servant	m; nom pl слуги
смешить (i) (+a)	to make (s.o.) laugh, amuse
смешок	chuckle	смешки jeers, jokes
смутно	vaguely, dimly
снаряжать/снарядить (+a)	to equip	p снаряжу, снарядишь
снисходительно	condescendingly; leniently, indulgently
снисходительный	condescending; lenient, indulgent
совершенствоваться/у- (в +pr)	to improve os; improve one’s knowledge (of)	i совершенствуюсь
содержательный	rich in content, profound, interesting
солдатик	toy soldier
солидно	solidly, substantially, weightily
сооружать/соорудить (+a)	to build, construct	p сооружу, соорудишь
соотечественник	compatriot
сопоставлять/сопоставить (+a)	to compare	p сопоставлю, сопоставишь
сопутствовать (i) (+d)	to accompany	i сопутствую
сорока	magpie
соседский	neighbour’s
сосредоточенно	intently, with concentration
составление	formation, making, compiling	составление словаря compilation of a dictionary
сосулька	icicle	g pl сосулек
спешка	haste
спрыгивать/спрыгнуть (с +g)	to jump off
срезать (i/p) (+a)	to cut down, cut off; shut s.o. up	среза́ть/сре́зать; p срежу, срежешь
стаканчик	small glass
стачка	strike (= забастовка)	g pl стачек
стекольщик	glazier
стенной	wall (adj)
стойко	steadfastly
странствовать (i)	to wander, travel	i странствую
стрелковый	shooting (adj); rifle, infantry (adj)	стрелковый тир rifle range
стружка	shaving, shavings	g pl стружек
струиться (i)	to stream
стычка	skirmish; squabble	g pl стычек
судорожно	convulsively, feverishly
сука	bitch
сукно	cloth	nom pl сукна, g pl сукон
сумрачный	gloomy; dreary
сухарь (m)	piece of dried bread; rusk	m; g sg сухаря
сюжет	subject, plot
тайник	hiding-place	g sg тайника
танкист	tank soldier, member of tank crew
территориальный	territorial
тесниться (i)	to crowd, jostle
тётушка	auntie; (old) lady	g pl тётушек
титул	title
тиф	typhus
токарь (m)	turner, lathe operator	nom pl (formal) токари, nom pl (coll) токаря
толковый	clever, sensible; clear, comprehensible; (словарь) explanatory
торжествовать (i) (над +inst)	to triumph (over); (+a) celebrate	i торжествую
трезво	soberly
триумф	triumph
трогательный	touching, affecting
трюк	stunt; trick, ruse
тугой	tight
туризм	tourism; hiking
турок	Turk	g pl турок
тысячелетний	thousand-year (adj)
тягость (f)	burden	f
увесистый	weighty
удостаивать/удостоить (+a +g)	to award s.o. sth; (+a +inst) favour s.o. with sth
уклоняться/уклониться (от +g)	to avoid, evade (sth)	i уклоняюсь; уклоняться от ответа to dodge a question, avoid answering
укореняться/укорениться	to take root
укрепляться/укрепиться	to become stronger; become fixed; consolidate one’s position	i укреплюсь, укрепишься
универсальный	universal; versatile, multi-purpose	универсальный магазин department store
униматься/уняться	to calm down
упоминаться/упомянуться	to be mentioned
упорядочение	putting in order, regulation
управа	(coll) control, means of control; (hist) management, administration, justice
упрощённый	simplified; over-simplified
упрямство	obstinacy
усеивать/усеять (+a +inst)	to strew, dot, litter (sth with sth)	p усею, усеешь
устранение	removal, elimination
утверждаться/утвердиться	to become established
утешение	comfort, solace
утюг	iron (for ironing)	g sg утюга
уха	fish-soup
финал	final (sport); finale
финиш	finish
финский	Finnish
формация	stage of development; formation
хилый	puny, decrepit
хирург	surgeon
христианство	Christianity
хроника	chronicle; news items; newsreel
царапать/царапнуть (+a)	to scratch
целесообразный	expedient
целеустремлённый	purposeful
цивилизованный	civilized
цыган	gypsy	nom pl цыгане, g pl цыган
челюсть (f)	jaw	f
чередование	alternation
четыреста	four hundred	g четырёхсот
чешский	Czech (adj)
чистка	cleaning; purge (political)	g pl чисток
читательский	reader’s
чихать/чихнуть	to sneeze
чрезмерно	excessively
шататься (i)	to sway; wobble; (coll) loaf about
шаткий	unsteady
шахматы (pl)	chess	g pl шахмат
швейный	sewing
шевелиться/шевельнуться	to stir
шелуха	skin, peel, husk
шершавый	rough (to the touch)
шириться (i)	to spread, expand
шишка	(pine/fir) cone; bump; (coll) big noise, VIP	g pl шишек
шляться (i)	to loaf about (coll)	i шляюсь
шпора	spur
штаб-квартира	headquarters
штормовой	gale (adj)
щедрость (f)	generosity	f
щенок	puppy	поm pl щенки, g pl щенков or nom pl щенята, g pl щенят
электроника	electronics
эффектный	striking, done for effect
яичница	fried eggs
ярмарка	fair, trade fair	g pl ярмарок
авианосец	aircraft carrier
автономный	autonomous
азарт	excitement, fervour
азбука	alphabet
акула	shark
алкоголь (m)	alcohol	m
аренда	lease
бабочка	butterfly	g pl бабочек
багаж	luggage	g sg багажа
бак	cistern, tank
барахло	old clothes, jumble; junk (coll)
бдительный	vigilant
бедро	hip; thigh	nom pl бёдра, g pl бёдер
бездействовать (i)	to do nothing; stand idle	i бездействую
безответственный	irresponsible
безропотно	uncomplainingly, without a murmur
беспечный	carefree, unconcerned
бестолковый	stupid; incoherent, muddled
бинт	bandage	g sg бинта
блоха	flea	nom pl блохи, g pl блох, d pl блохам
болтаться (i)	to dangle; hang about (coll)
бритва	razor
буйный	wild, unruly
быль (f)	true story, fact	f
бюллетень (m)	bulletin; ballot-paper; medical certificate	m
вдыхать/вдохнуть (+a)	to breathe in
величавый	majestic
веха	landmark; stake, marker
взнос	payment; fee; subscription
вилка	fork; (two-pin) plug	g pl вилок
виселица	gallows
внятно	distinctly, clearly, audibly
водружать/водрузить (+a)	to hoist, erect	p водружу, водрузишь
воздерживаться/воздержаться (от +g)	to abstain (from)	p воздержусь, воздержишься
вонять (i) (+inst)	to stink (of)	i воняет
воодушевление	enthusiasm, fervour
воочию	with one’s own eyes, for os	воочию убедиться в +pr to see for os
ворох	heap, pile	nom pl вороха; ворох сена pile of hay; ворох новостей heaps of news
воск	wax
вторгаться/вторгнуться (в +a)	to invade
выручка	proceeds, earnings; rescue
выступ	projection; ledge
вышка	tower; turret	g pl вышек
вялый	flabby, limp
договорённость (f)	agreement	f
гнить/с-	to rot	i гнию, гниёшь, f past гнила
гнусный	vile
горб	hump	g sg горба, pr sg на горбу
град	hail; (poet) city
гусеница	caterpillar
дань (f)	tribute, homage	f
девать/деть (+a)	to put (coll)
добродетель (f)	virtue	f
домысел	conjecture
дощатый	made of planks, board (adj)
духи (m pl)	perfume	m pl; g pl духов
душистый	fragrant
евангелие	gospel
еврей	Jew
единогласно	unanimously
ёж	hedgehog	g sg ежа
жанр	genre
жарить/за- (+a)	to fry; roast
жемчужина	pearl
жир	fat, grease	pr sg в жиру, nom pl жиры
жуткий	terrible
завсегдатай	habitue; regular customer
заглавие	title, heading
загс	registry office
задор	fervour, vigour
заём	loan	g sg займа
закоулок	back alley; nook, cranny
залог	deposit, guarantee, pledge
замешательство	confusion; consternation
замкнутый	reserved, unsociable; secluded, private
заочно	in one’s absence; externally (of study for a degree)	окончить институт заочно to take an external degree
запинаться/запнуться	to stumble
запчасть (f)	spare part	f
застёгивать/застегнуть (+a)	to fasten
изрядный	fairly good, quite large	изрядное количество quite a lot
захлёбываться/захлебнуться	to choke
злоупотреблять/злоупотребить (+inst)	to misuse, abuse (sth)	i злоупотребляю
знатный	distinguished, outstanding; (hist) high-born, noble
зонтик	umbrella
зыбкий	unsteady, unstable
ива	willow
икра	caviare; calf (of leg)
искажать/исказить (+a)	to distort
искушение	temptation
исподволь	gradually (coll)
калека (m/f)	cripple	m/f
камыш	reed, rush	g sg камыша
карий	brown, hazel (of eyes); chestnut (of horses)	soft adj
квитанция	receipt
клевать/клюнуть	to peck	i клюю, клюёшь; клевать носом to nod, be drowsy
клей	glue
клумба	flower-bed
коврик	rug
коготь (m)	claw	m; g pl когтей
кое-как	anyhow, carelessly; somehow or other, somehow
коренастый	thickset, stocky
косой	slanting, oblique, squint; cross-eyed, squinting
красноречие	eloquence
крушение	wreck, ruin, collapse
кувыркаться/кувыркнуться	to turn somersaults, go head over heels
кумир	idol
кутёж	drinking-bout	g sg кутежа
лазейка	hole; loop-hole	g pl лазеек
лак	varnish
ласточка	swallow	g pl ласточек
лезвие	blade
лестный	flattering
ликовать (i)	to rejoice	i ликую
лицемерие	hypocrisy
льстить/по- (+d)	to flatter	i льщу, льстишь
мазать (i) (+a)	to grease, smear	i мажу, мажешь
маяк	lighthouse; beacon	g sg маяка
мерзость (f)	vileness; sth disgusting	f
мести (i) (+a)	to sweep	i мету, метёшь, past мёл, мела
мизинец	little finger; little toe
миска	bowl	g pl мисок
мозоль (f)	corn (on foot), callous	f
мятеж	rebellion	g sg мятежа
набросок	sketch, rough draft
наизусть	by heart, from memory	выучить наизусть to learn by heart
наперекор (+d)	contrary, counter (to), in defiance (of)	наперекор судьбе in defiance of fate
нарекание	reprimand
насаждение	planting; propagation
насморк	cold (in the head)
начинка	stuffing, filling (of pie etc.)
невестка	daughter-in-law; sister-in-law (brother’s wife)	g pl невесток
незваный	uninvited
незыблемый	unshakable
неистовый	frenzied
неполадка	fault, defect	g pl неполадок; неполадки (coll) quarrel
непринуждённый	relaxed, unconstrained
неразбериха	muddle (coll)
несовместимый	incompatible
неспроста	with an ulterior motive, not without a reason (coll)
неурядица	confusion (coll)	неурядицы squabbling
ничей	nobody’s	f ничья, n ничьё; ничья drawn game; ничья земля no man’s land
нрав	nature, disposition (of person)	тихий нрав quiet nature; нравы manners, customs
ныть (i)	to whine, complain; ache	i ною, ноешь
нюхать/по- (+a)	to smell, sniff (sth)
обаяние	charm
обуздывать/обуздать (+a)	to curb, restrain	p обуздаю
озабоченный	worried, preoccupied
олень (m)	deer	m
омерзительный	disgusting, revolting
омут	pool, deep place in river; whirlpool	В тихом омуте черти водятся Still waters run deep
опека	guardianship, trusteeship; surveillance, care
опилки (pl)	sawdust; metal filings	g pl опилок
оплошность (f)	slip, blunder	f
оправа	mounting, frame
опрятный	tidy, neat
оспаривать/оспорить (+a)	to contest, dispute
отборный	selected, specially chosen
отделываться/отделаться (от +g)	to get rid of; (+inst) get off, escape (with)	p легко отделаться to get off lightly
отменный	excellent
отравлять/отравить (+a)	to poison	i отравляю
ошеломлять/ошеломить (+a)	to stun, astound	p ошеломлю, ошеломишь
пакетик	bag, plastic bag
палисадник	front garden; stake fence
панель (f)	pavement; panelling, panel	f
пасмурный	cloudy, overcast; gloomy
пасынок	stepson
пекло	scorching heat; hell (coll)
пелёнка	nappy, diaper	g pl пелёнок
передышка	breathing-space, rest, short break	g pl передышек
перечень (m)	list, enumeration	m
перина	feather-bed, duvet
перрон	platform (railway station)
пир	feast	pr sg в/на пиру, nom pl пиры
пирожное	cake, pastry
пищать/пискнуть	to squeak, squeal; cheep	i пищу, пищишь
пластмасса	plastic
плесень (f)	mould
плескать/плеснуть	to splash	i плещу, плещешь
печень (f)	liver	f
пляж	beach
побуждать/побудить (+a +inf or к +d)	to prompt, induce (s.o. to do sth)	p побужу, побудишь
подданный	subject, citizen
подошва	sole (of shoe, foot)
подсобный	subsidiary, supplementary
позитивный	positive
поклонник	admirer
покорять/покорить (+a)	to conquer, subjugate	i покоряю
половой	sexual
полтораста	a hundred and fifty	g/d/inst/pr полутораста
поместье	estate	g pl поместий
помидор	tomato
поощрять/поощрить (+a)	to encourage	i поощряю
пополам	in half, half-and-half	с грехом пополам after а fashion, only just
поросёнок	piglet	nom pl поросята, g pl поросят
портной	tailor
пословица	proverb
послушный	obedient
поставлять/поставить (+a)	to deliver, supply	i поставляю
потеха	fun, amusement
похмелье	hangover	быть с похмелья to have а hangover
почесть (f)	honour, mark of respect	f
пошлый	vulgar; trivial, banal
православный	orthodox (religious term); (as noun) member of Orthodox Church	православная церковь Orthodox Church
прадед	great-grandfather
праздность (f)	idleness	f
предосудительный	reprehensible
пресный	unsalted; flavourless, bland	пресная вода fresh water
придираться/придраться (к +d)	to find fault with
приемлемый	acceptable
признательный	grateful
прикидываться/прикинуться (+inst)	to pretend (to be sth) (coll)
приют	shelter, refuge
проворный	quick, agile
пролив	strait
проницательный	penetrating; shrewd
просо	millet
пруд	pond	g sg пруда, pr sg в пруду
птенец	nestling, fledgling
пух	down, fluff	pr sg в пуху
пыл	heat, ardour	pr sg в пылу
пылесос	vacuum cleaner
развод	divorce
раздолье	expanse, open space; freedom
разительный	striking	разительное сходство striking similarity
разлад	discord; disorder
разрозненный	incomplete (of set); scattered, uncoordinated	разрозненный комплект broken set; разрозненные выстрелы isolated shots
разыгрывать/разыграть (+a)	to perform; raffle, draw lots (for sth); play a trick (on s.o.), fool
раскат	rumble, roll, peal	раскат грома rumble of thunder; раскаты хохота loud peals of laughter
раскаяние	repentance
рассудок	reason, ability to think	голос рассудка the voice of reason; лишиться рассудка to go out of one’s mind
растрёпанный	dishevelled; tattered
ринуться (р)	to rush, charge, dash	no i
рознь (f)	difference; discord, disagreement	f
рокот	roar, rumble
рукавица	mitten, glove (without fingers)
рыдать (i)	to sob
сверстник	person of the same age, contemporary
селёдка	herring	g pl селёдок; dim of сельдь f herring
сквер	public garden
сквозняк	draught	g sg сквозняка
скитаться (i)	to wander, roam
скорлупа	shell	nom pl скорлупы; яичная скорлупа eggshell
скрежет	grinding (noise)
слыть/про- (+inst or за +a)	to have the reputation of, be considered	i слыву, слывёшь; Он слывёт чудаком Не is considered eccentric
слюна	saliva	also in the form слюни pl, g pl слюней
смежный	adjacent, adjoining, connected	смежные комнаты adjoining rooms
смета	estimate
смятение	confusion, disarray, panic
мять/с- (+a)	to crumple, crush	p сомну, сомнёшь
сновать (i)	to dash about, scurry	i сную, снуёшь
сноровка	knack, skill	Необходимо иметь сноровку You have to have the knack
соблазнять/соблазнить (+a)	to tempt; seduce
соловей	nightingale	g sg соловья, g pl Соловьёв
сплетни (f pl)	gossip	f pl; nom sg сплетня; g pl сплетен
справочник	reference book, guide
стаж	period of service, period of work or training	производственный стаж industrial experience
стужа	icy cold, severe frost (coll)
сутулый	round-shouldered, stooping
сшибать/сшибить (+a)	to knock down (coll)	p сшибу, сшибёшь, past сшиб, сшибла; сшибить кого-нибудь с ног to knock s.o. off their feet
таз	basin; pelvis	pr sg в тазу or в тазе, nom pl тазы
талон	coupon
тёща	mother-in-law (wife’s mother)
тлеть (i)	to rot; smoulder	i тлеет
тщетно	in vain
уйма (+g)	lots (of) (coll)	no pl
умеренный	moderate
упругий	elastic, springy
урод	freak, monster
усмотрение	discretion, judgement	по вашему усмотрению as you think best
утечка	leak	g pl утечек
утомительный	tiring; tedious
ухмыляться/ухмыльнуться	to smirk, grin (coll)	i ухмыляюсь
фея	fairy
хлопья (pl)	flakes	g pl хлопьев
чаяние	hope; expectation
чесать/по- (+a)	to scratch	i чешу, чешешь
чтить/по- (+a)	to honour	i чту, чтишь
шаблон	cliche; routine; pattern
шаркать/шаркнуть (+inst)	to shuffle	i шаркать ногами to shuffle one’s feet
шествие	procession
шнур	cord; lace; flex, cable	g sg шнура
штабель (m)	stack, pile	m; nom pl штабеля
шустрый	smart, quick, agile (coll)
щекотать/по- (+a)	to tickle	i щекочу, щекочешь
щетина	bristles, bristly surface; stubble (of beard)
щука	pike (fish)
щупать/по- (+a)	to feel, touch (sth), probe
щуриться/со-	to screw up one’s eyes, narrow one’s eyes
электричка	suburban train (coll)	g pl электричек
этажерка	bookcase	g pl этажерок
ярый	furious, raging; fervent, rabid	ярый поклонник fervent admirer
#METADATA:
#--columns russian,english,extra
#--listdelimiter |
